isin,company,field,old,new,severity
INE0SJX01015,Asston Pharmaceuticals Ltd.,ticker_bo,APL,544445,BSE_FMT
INE0QUL01011,Nexxus Petro Industries Ltd.,ticker_bo,NEXXUS,544265,BSE_FMT
INE0OUW01013,Durlax Top Surface Ltd.,listing_open,100.29,109.00,SOFT
INE0DQN01013,Nisus Finance Services Co.Ltd.,ticker_bo,NISUS,544296,BSE_FMT
INE0V8A01016,Karbonsteel Engineering Ltd.,ticker_bo,KARBON,544511,BSE_FMT
INE0QQJ01021,Parmeshwar Metal Ltd.,ticker_bo,PARMESHWAR,544330,BSE_FMT
INE0XRR01010,AJC Jewel Manufacturers Ltd.,ticker_bo,AJCJEWEL,544425,BSE_FMT
INE0Q2Z01013,Benchmark Computer Solutions Ltd.,ticker_bo,BENCHMARK,544052,BSE_FMT
INE0TJ801010,L.T.Elevator Ltd.,ticker_bo,LTELEVATOR,544518,BSE_FMT
INE04T901017,Kahan Packaging Ltd.,ticker_bo,KAHAN,543979,BSE_FMT
INE0Y0E01012,Icon Facilitators Ltd.,ticker_bo,ICON,544426,BSE_FMT
INE161701011,Patel Chem Specialities Ltd.,ticker_bo,PATELCHEM,544460,BSE_FMT
INE0CFH01028,Rikhav Securities Ltd.,ticker_bo,RIKHAV,544340,BSE_FMT
INE0RRU01016,Indian Emulsifiers Ltd.,listing_open,374.43,430.00,SOFT
INE1NQ501012,Neptune Logitek Ltd.,ticker_bo,NEPLOG,544663,BSE_FMT
INE0RNZ01014,Shri Balaji Valve Components Ltd.,ticker_bo,SBVCL,544074,BSE_FMT
INE163701019,KVS Castings Ltd.,ticker_bo,KVSCASTING,544554,BSE_FMT
INE0RUY01012,Astron Multigrain Ltd.,ticker_bo,ASTRONMULT,544628,BSE_FMT
INE0A8401016,Citichem India Ltd.,ticker_bo,CITICHEM,544324,BSE_FMT
INE0QP701017,Valplast Technologies Ltd.,ticker_bo,VALPLAST,544565,BSE_FMT
INE0M8R01011,Koura Fine Diamond Jewelry Ltd.,ticker_bo,KOURA,544139,BSE_FMT
INE0PQK01013,Falcon Technoprojects India Ltd.,listing_open,60.44,84.00,SOFT
INE0Q6901013,Vrundavan Plantation Ltd.,ticker_bo,VPL,544011,BSE_FMT
INE1IE301018,K.V.Toys India Ltd.,ticker_bo,KVTOYS,544641,BSE_FMT
INE0WCH01015,Jungle Camps India Ltd.,ticker_bo,JUNGLECAMP,544304,BSE_FMT
INE0LY301010,Share Samadhan Ltd.,ticker_bo,SSL,544251,BSE_FMT
INE0YG001013,Star Imaging & Path Lab Ltd.,ticker_bo,STARIMAGIN,544482,BSE_FMT
INE0T3401029,Aelea Commodities Ltd.,ticker_bo,ACLD,544213,BSE_FMT
INE0SVZ01015,Safecure Services Ltd.,ticker_bo,SAFECURE,544596,BSE_FMT
INE346R01013,Nilachal Carbo Metalicks Ltd.,ticker_bo,NCML,544510,BSE_FMT
INE1IBY01019,Essex Marine Ltd.,ticker_bo,ESSEX,544475,BSE_FMT
INE0QUV01010,Sattrix Information Security Ltd.,ticker_bo,SATTRIX,544189,BSE_FMT
INE0P4P01011,Techknowgreen Solutions Ltd.,ticker_bo,TECHKGREEN,543991,BSE_FMT
INE0LCG01010,Monika Alcobev Ltd.,ticker_bo,MONIKA,544451,BSE_FMT
INE0TD301017,Shanmuga Hospital Ltd.,ticker_bo,SHANMUGA,544365,BSE_FMT
INE1E1V01017,HRS Aluglaze Ltd.,ticker_bo,HRS,544656,BSE_FMT
INE00ST01011,B.R.Goyal Infrastructure Ltd.,ticker_bo,BRGIL,544335,BSE_FMT
INE1EUB01016,Shlokka Dyes Ltd.,ticker_bo,SHLOKKA,544582,BSE_FMT
