isin,company_name,type,year,missing
INE0GX601011,NIKS Technology Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0CJD01029,Knowledge Marine & Engineering Works Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0EMB01015,Rangoli Tradecomm Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE05FR01029,Ashapuri Gold Ornament Ltd. FPO,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0G0V01018,ADJIA Technologies Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE07S101038,Pavna Industries Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE06ZX01015,Party Cruisers Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0D7801012,MRP Agro Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0MID01012,SVS Ventures Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0MFT01014,Rex Sealing & Packing Industries Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0LR101013,Anlon Technology Solutions Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0NA301016,RBM Infracon Ltd.,SME,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
