symbol,yahoo_date,nse_date,yahoo_ratio,nse_ratio,nse_action_type,date_diff_days,status
JYOTHYLAB,2012-07-12,2012-07-12,2.0,2.0,bonus,0,MATCH
JYOTHYLAB,2018-06-28,2018-06-28,2.0,2.0,bonus,0,MATCH
KAMDHENU,2025-01-08,2025-01-08,10.0,10.0,split,0,MATCH
KAPSTON,2020-01-27,2020-01-27,1.1666666666666667,1.166667,bonus,0,MATCH
KAPSTON,2024-08-09,2024-08-09,2.0,2.0,split,0,MATCH
KAPSTON,2026-03-06,2026-03-06,1.5,1.5,bonus,0,MATCH
KARNIKA,2025-08-29,2025-08-29,5.0,5.0,bonus,0,MATCH
KCK,2024-10-30,2024-10-30,5.0,5.0,split,0,MATCH
KDL,2025-01-17,2025-01-17,3.0,3.0,bonus,0,MATCH
KHFM,2021-12-16,2021-12-16,1.0333333333333334,1.033333,bonus,0,MATCH
KIMS,2024-09-13,2024-09-13,5.0,5.0,split,0,MATCH
KKCL,2021-12-16,2021-12-16,5.0,5.0,bonus,0,MATCH
