symbol,original_symbol,yahoo_date,yahoo_ratio,is_bse_code,status
543971,543971.BO,2024-09-02,5.0,True,YAHOO_ONLY
ABHISHEK,ABHISHEK.NS,2024-05-10,0.025,False,YAHOO_ONLY
ABHISHEK,ABHISHEK.NS,2024-05-24,0.025,False,YAHOO_ONLY
ALLCARGO,ALLCARGO.NS,2009-11-19,5.0,False,YAHOO_ONLY
ASIANTILES,ASIANTILES.NS,2020-11-09,5.0,False,YAHOO_ONLY
BAFNAPH,BAFNAPH.NS,2019-08-26,0.1,False,YAHOO_ONLY
BANSAL,BANSAL.NS,2025-04-11,0.01,False,YAHOO_ONLY
BANSAL,BANSAL.NS,2025-06-16,0.01,False,YAHOO_ONLY
BETA,BETA.NS,2025-03-26,1.05,False,YAHOO_ONLY
BURNPUR,BURNPUR.NS,2025-01-30,0.2,False,YAHOO_ONLY
CANTABIL,CANTABIL.NS,2023-10-20,5.0,False,YAHOO_ONLY
CMMIPL,CMMIPL.NS,2025-04-15,0.01,False,YAHOO_ONLY
CMMIPL,CMMIPL.NS,2025-04-24,0.01,False,YAHOO_ONLY
DIGIKORE,DIGIKORE.NS,2025-10-10,2.0,False,YAHOO_ONLY
ENGINERSIN,ENGINERSIN.NS,1999-11-22,3.0,False,YAHOO_ONLY
ENGINERSIN,ENGINERSIN.NS,2010-05-06,2.0,False,YAHOO_ONLY
GBGLOBAL,GBGLOBAL.NS,2019-02-14,0.1,False,YAHOO_ONLY
GBGLOBAL,GBGLOBAL.NS,2021-06-03,0.01,False,YAHOO_ONLY
GICL,GICL.NS,2022-08-19,2.0,False,YAHOO_ONLY
GICL,GICL.NS,2025-10-15,2.0,False,YAHOO_ONLY
GNA,GNA.NS,2023-08-11,2.0,False,YAHOO_ONLY
GTECJAINX,GTECJAINX.NS,2020-07-01,3.1,False,YAHOO_ONLY
GULPOLY,GULPOLY.NS,2016-12-27,5.0,False,YAHOO_ONLY
HDIL,HDIL.NS,2008-08-21,1.2857142857142858,False,YAHOO_ONLY
INDUSFILA,INDUSFILA.NS,2026-01-29,0.2636,False,YAHOO_ONLY
INDUSFILA,INDUSFILA.NS,2026-02-09,0.01,False,YAHOO_ONLY
INNOVATIVE,INNOVATIVE.NS,2024-06-26,0.035,False,YAHOO_ONLY
INVENTURE,INVENTURE.NS,2012-05-22,4.0,False,YAHOO_ONLY
JAIPURKURT,JAIPURKURT.NS,2019-04-30,2.5,False,YAHOO_ONLY
JSLL,JSLL.NS,2025-06-12,5.0,False,YAHOO_ONLY
KAUSHALYA,KAUSHALYA.NS,2024-01-12,0.01,False,YAHOO_ONLY
KNRCON,KNRCON.NS,2016-12-12,5.0,False,YAHOO_ONLY
KPRMILL,KPRMILL.NS,2016-11-29,2.0,False,YAHOO_ONLY
LTFOODS,LTFOODS.NS,2017-02-07,10.0,False,YAHOO_ONLY
MICEL,MICEL.NS,2021-06-24,0.25,False,YAHOO_ONLY
MOS,MOS.NS,2025-09-26,2.0,False,YAHOO_ONLY
NPST,NPST.NS,2024-01-22,3.0,False,YAHOO_ONLY
OPTOCIRCUI,OPTOCIRCUI.NS,2003-11-10,1.2,False,YAHOO_ONLY
OPTOCIRCUI,OPTOCIRCUI.NS,2004-10-20,1.3,False,YAHOO_ONLY
OPTOCIRCUI,OPTOCIRCUI.NS,2005-08-16,1.5,False,YAHOO_ONLY
PATANJALI,PATANJALI.NS,2007-10-29,5.0,False,YAHOO_ONLY
PATANJALI,PATANJALI.NS,2019-11-14,0.01,False,YAHOO_ONLY
PAVNAIND,PAVNAIND.NS,2022-08-17,2.0,False,YAHOO_ONLY
