scrip_id,Scrip_Name,ISIN_NUMBER,GROUP
TECH,Aditya Birla Sunlife Nifty IT ETF,INF209KB11D8,B
HEALTHY,Aditya Birla Sun Life Nifty Healthcare ETF,INF209KB10C2,B
BSLNIFTY,Aditya Birla Sun Life Nifty 50 ETF,INF209KB19D1,B
EKENNIS,Ekennis Software Service Ltd,INE0KCM01010,MT
MIDCAPETF,Mirae Asset Nifty Midcap 150 ETF,INF769K01IC9,B
EUREKAFORB,Eureka Forbes Ltd,INE0KCE01017,A
GATEWAY,Gateway Distriparks Ltd,INE079J01017,B
GMRP&UI,GMR Power and Urban Infra Ltd,INE0CU601026,A
BCCL,Bhatia Colour Chem Ltd,INE0KQ001017,M
MSUMI,Motherson Sumi Wiring India Ltd,INE0FS801015,A
ACHYUT,Achyut Healthcare Ltd,INE0K1401020,B
EVOQ,Evoq Remedies Ltd,INE0JVD01011,M
MOLOWVOL,Motilal Oswal BSE Low Volatility ETF,INF247L01BL0,B
AVROIND,Avro India Ltd,INE652Z01025,B
UMAEXPORTS,Uma Exports Ltd,INE0GIU01018,B
VERANDA,Veranda Learning Solutions Ltd,INE0IQ001011,B
SEML,Sunrise Efficient Marketing Ltd,INE0KPY01017,M
DHYAANITR,Dhyaani Tradeventtures Ltd,INE0K5F01014,M
HARIOMPIPE,Hariom Pipe Industries Ltd,INE00EV01017,B
EIGHTY,Eighty Jewellers Ltd,INE0KSN01014,M
SFSL,Shashwat Furnishing Solutions Ltd,INE0JMN01019,M
GLHRL,Global Longlife Hospital and Research Ltd,INE0J2K01014,MT
FONE4,Fone4 Communications (India) Ltd,INE0L3H01014,M
NVENTURES,Nanavati Ventures Ltd,INE0E5R01017,M
CAMPUS,Campus Activewear Ltd,INE278Y01022,A
RAINBOW,Rainbow Children's Medicare Ltd,INE961O01016,A
SILVERTUC,Silver Touch Technologies Ltd,INE625X01026,B
LICI,Life Insurance Corporation of India,INE0J1Y01017,A
PRUDENT,Prudent Corporate Advisory Services Ltd,INE00F201020,A
VENUSPIPES,Venus Pipes & Tubes Ltd,INE0JA001018,B
DELHIVERY,Delhivery Ltd,INE148O01028,A
PARADEEP,Paradeep Phosphates Ltd,INE088F01024,A
TIERRA,Tierra Agrotech Ltd,INE05CY01014,X
ETHOSLTD,Ethos Ltd,INE04TZ01018,A
EMUDHRA,eMudhra Ltd,INE01QM01018,B
AETHER,Aether Industries Ltd,INE0BWX01014,A
WEWIN,We Win Ltd,INE082W01014,T
SILVERPRL,Silver Pearl Hospitality & Luxury Spaces Ltd,INE0KXN01014,M
SCARNOSE,Scarnose International Ltd,INE0IXR01019,M
GOEL,Goel Food Products Ltd,INE0K6L01010,MT
MODIS,Modis Navnirman Ltd,INE0L0L01012,B
PGCRL,Pearl Green Clubs and Resorts Ltd,INE0GTX01019,M
SAILANI,Sailani Tours N Travels Ltd,INE0KHQ01010,M
KESAR,Kesar India Ltd,INE0L1C01019,M
BRRL,B-Right Realestate Ltd,INE0IZQ01016,M
JAYANT,Jayant Infratech Ltd,INE0KR801019,M
VEERKRUPA,Veerkrupa Jewellers Ltd,INE0ID001024,M
HEALTHYLIFE,Healthy Life Agritec Ltd,INE0L3501015,M
DDEVPLSTIK,Ddev Plastiks Industries Ltd,INE0HR601026,B
MOHEALTH,Motilal Oswal BSE Healthcare ETF,INF247L01BB1,B
MOM30IETF,ICICI Prudential Nifty 200 Momentum 30 ETF,INF109KC17C7,B
HDFCNIF100,HDFC NIFTY 100 ETF,INF179KC1HR4,B
